Age,Gender,Stream,How often do you exercise?,Describe your daily routine,How long do you exercise daily?,Your primary motivation for exercising?,Importance of Fitness for you,Any pre-existing health conditions?  ,"On average, how many hours do you sleep per night?",What is the biggest challenge to staying consistent with exercise?,Would you consider joining a gym or fitness class in the next 6 months?,Dietary Habits?,Stress Levels?
19,Male,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),B. 15-30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,A. Less than 5 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",High
16,Male,Commerce,C. Frequently (4+ times/week),B. Moderately active (some walking/movement),C. More than 30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,C. Heart disease,A. Less than 5 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
20,Female,Science,B. Sometimes (2-3 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,C. Stress relief / mental well-being,B. Somewhat important,E. No pre-existing conditions,A. Less than 5 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),"A. Mostly sedentary (desk job, minimal movement)",A. Less than 15 minutes,C. Stress relief / mental well-being,A. Very important,D. Asthma or breathing problems,B. 5-7 hours,B. Time constraints,B. No,"Junk food consumption, Sugar intake",Moderate
19,Female,Science,B. Sometimes (2-3 times/week),"C. Very active (physical job, frequent exercise)",A. Less than 15 minutes,"A. Health & longevity, C. Stress relief / mental well-being",B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,D. No challenges,B. No,"Junk food consumption, Sugar intake",High
20,Female,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,B. Weight loss / muscle gain,B. Somewhat important,E. No pre-existing conditions,C. More than 7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,"A. Health & longevity, B. Weight loss / muscle gain, C. Stress relief / mental well-being",A. Very important,E. No pre-existing conditions,B. 5-7 hours,A. Lack of motivation,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,A. Rarely (0-1 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,D. I don’t exercise,B. Somewhat important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",Moderate
19,Male,Science,C. Frequently (4+ times/week),"C. Very active (physical job, frequent exercise)",C. More than 30 minutes,B. Weight loss / muscle gain,A. Very important,E. No pre-existing conditions,B. 5-7 hours,B. Time constraints,A. Yes,"Junk food consumption, Sugar intake",High
18,Female,Science,B. Sometimes (2-3 times/week),B. Moderately active (some walking/movement),A. Less than 15 minutes,"B. Weight loss / muscle gain, C. Stress relief / mental well-being",B. Somewhat important,E. No pre-existing conditions,A. Less than 5 hours,A. Lack of motivation,B. No,"Junk food consumption, Sugar intake",Moderate
